Index,Time,Leg Distance,Leg Time,Leg Speed,Elevation,Leg Course ,Position,
51,"5/24/22, 11:06:50 AM",1 ft,0:00:01,0.4 mph,19 ft,279° true,N18° 21.534' W65° 01.983',
52,"5/24/22, 11:06:51 AM",1 ft,0:00:01,0.7 mph,19 ft,182° true,N18° 21.534' W65° 01.984',
53,"5/24/22, 11:06:52 AM",1 ft,0:00:01,0.8 mph,21 ft,186° true,N18° 21.534' W65° 01.984',
54,"5/24/22, 11:06:53 AM",1 ft,0:00:01,0.5 mph,19 ft,152° true,N18° 21.534' W65° 01.984',
55,"5/24/22, 11:06:54 AM",0 ft,0:00:01,0.3 mph,19 ft,308° true,N18° 21.534' W65° 01.984',
56,"5/24/22, 11:06:55 AM",0 ft,0:00:01,0.3 mph,19 ft,98° true,N18° 21.534' W65° 01.984',
57,"5/24/22, 11:06:56 AM",1 ft,0:00:01,0.3 mph,19 ft,347° true,N18° 21.534' W65° 01.983',
58,"5/24/22, 11:06:57 AM",1 ft,0:00:01,1.0 mph,19 ft,339° true,N18° 21.534' W65° 01.984',
59,"5/24/22, 11:06:58 AM",1 ft,0:00:01,0.5 mph,19 ft,334° true,N18° 21.534' W65° 01.984',
60,"5/24/22, 11:06:59 AM",0 ft,0:00:01,0.3 mph,19 ft,73° true,N18° 21.534' W65° 01.984',
61,"5/24/22, 11:07:00 AM",0 ft,0:00:01,0.2 mph,19 ft,5° true,N18° 21.534' W65° 01.984',
62,"5/24/22, 11:07:01 AM",0 ft,0:00:01,0.1 mph,19 ft,169° true,N18° 21.534' W65° 01.984',
63,"5/24/22, 11:07:02 AM",0 ft,0:00:01,0.1 mph,19 ft,180° true,N18° 21.534' W65° 01.984',
64,"5/24/22, 11:07:03 AM",1 ft,0:00:01,0.4 mph,19 ft,169° true,N18° 21.534' W65° 01.984',
65,"5/24/22, 11:07:04 AM",1 ft,0:00:01,0.8 mph,21 ft,147° true,N18° 21.534' W65° 01.984',
66,"5/24/22, 11:07:05 AM",2 ft,0:00:01,1.4 mph,21 ft,111° true,N18° 21.534' W65° 01.983',
67,"5/24/22, 11:07:06 AM",1 ft,0:00:01,0.8 mph,21 ft,278° true,N18° 21.534' W65° 01.983',
68,"5/24/22, 11:07:07 AM",1 ft,0:00:01,0.7 mph,21 ft,345° true,N18° 21.534' W65° 01.983',
69,"5/24/22, 11:07:08 AM",1 ft,0:00:01,0.6 mph,21 ft,314° true,N18° 21.534' W65° 01.983',
70,"5/24/22, 11:07:09 AM",1 ft,0:00:01,1.0 mph,21 ft,326° true,N18° 21.534' W65° 01.983',
71,"5/24/22, 11:07:10 AM",2 ft,0:00:01,1.1 mph,21 ft,333° true,N18° 21.534' W65° 01.984',
72,"5/24/22, 11:07:11 AM",1 ft,0:00:01,0.9 mph,21 ft,296° true,N18° 21.535' W65° 01.984',
73,"5/24/22, 11:07:12 AM",1 ft,0:00:01,0.4 mph,21 ft,218° true,N18° 21.535' W65° 01.984',
74,"5/24/22, 11:07:13 AM",1 ft,0:00:01,0.8 mph,21 ft,162° true,N18° 21.535' W65° 01.984',
75,"5/24/22, 11:07:14 AM",2 ft,0:00:01,1.4 mph,21 ft,159° true,N18° 21.534' W65° 01.984',
76,"5/24/22, 11:07:15 AM",1 ft,0:00:01,1.0 mph,21 ft,155° true,N18° 21.534' W65° 01.984',
77,"5/24/22, 11:07:16 AM",1 ft,0:00:01,0.4 mph,21 ft,204° true,N18° 21.534' W65° 01.984',
78,"5/24/22, 11:07:17 AM",0 ft,0:00:01,0.3 mph,23 ft,335° true,N18° 21.534' W65° 01.984',
79,"5/24/22, 11:07:18 AM",1 ft,0:00:01,0.6 mph,21 ft,338° true,N18° 21.534' W65° 01.984',
80,"5/24/22, 11:07:19 AM",2 ft,0:00:01,1.1 mph,21 ft,322° true,N18° 21.534' W65° 01.984',
81,"5/24/22, 11:07:20 AM",1 ft,0:00:01,0.9 mph,21 ft,303° true,N18° 21.534' W65° 01.984',
82,"5/24/22, 11:07:21 AM",1 ft,0:00:01,0.9 mph,21 ft,298° true,N18° 21.534' W65° 01.984',
83,"5/24/22, 11:07:22 AM",1 ft,0:00:01,0.6 mph,21 ft,281° true,N18° 21.535' W65° 01.984',
84,"5/24/22, 11:07:23 AM",1 ft,0:00:01,0.6 mph,21 ft,103° true,N18° 21.535' W65° 01.985',
85,"5/24/22, 11:07:24 AM",0 ft,0:00:01,0.0 mph,21 ft,90° true,N18° 21.535' W65° 01.984',
86,"5/24/22, 11:07:25 AM",1 ft,0:00:01,0.9 mph,21 ft,130° true,N18° 21.535' W65° 01.984',
87,"5/24/22, 11:07:26 AM",2 ft,0:00:01,1.6 mph,21 ft,126° true,N18° 21.534' W65° 01.984',
88,"5/24/22, 11:07:27 AM",1 ft,0:00:01,0.4 mph,23 ft,90° true,N18° 21.534' W65° 01.984',
89,"5/24/22, 11:07:28 AM",1 ft,0:00:01,0.4 mph,21 ft,87° true,N18° 21.534' W65° 01.984',
90,"5/24/22, 11:07:29 AM",0 ft,0:00:01,0.1 mph,21 ft,90° true,N18° 21.534' W65° 01.984',
91,"5/24/22, 11:07:30 AM",1 ft,0:00:01,0.4 mph,21 ft,63° true,N18° 21.534' W65° 01.984',
92,"5/24/22, 11:07:31 AM",1 ft,0:00:01,0.4 mph,21 ft,30° true,N18° 21.534' W65° 01.984',
93,"5/24/22, 11:07:32 AM",0 ft,0:00:01,0.2 mph,21 ft,13° true,N18° 21.534' W65° 01.984',
94,"5/24/22, 11:07:33 AM",1 ft,0:00:01,0.4 mph,21 ft,328° true,N18° 21.534' W65° 01.984',
95,"5/24/22, 11:07:34 AM",1 ft,0:00:01,0.3 mph,21 ft,316° true,N18° 21.534' W65° 01.984',
96,"5/24/22, 11:07:35 AM",0 ft,0:00:01,0.1 mph,21 ft,242° true,N18° 21.534' W65° 01.984',
97,"5/24/22, 11:07:36 AM",1 ft,0:00:01,0.6 mph,21 ft,143° true,N18° 21.534' W65° 01.984',
98,"5/24/22, 11:07:37 AM",1 ft,0:00:01,0.4 mph,21 ft,337° true,N18° 21.534' W65° 01.984',
99,"5/24/22, 11:07:38 AM",0 ft,0:00:01,0.3 mph,21 ft,251° true,N18° 21.534' W65° 01.984',
100,"5/24/22, 11:07:39 AM",0 ft,0:00:01,0.3 mph,21 ft,98° true,N18° 21.534' W65° 01.984',
101,"5/24/22, 11:07:40 AM",1 ft,0:00:01,0.6 mph,21 ft,131° true,N18° 21.534' W65° 01.984',
102,"5/24/22, 11:07:41 AM",0 ft,0:00:01,0.3 mph,21 ft,155° true,N18° 21.534' W65° 01.983',
103,"5/24/22, 11:07:42 AM",1 ft,0:00:01,0.4 mph,21 ft,177° true,N18° 21.534' W65° 01.983',
104,"5/24/22, 11:07:43 AM",0 ft,0:00:01,0.1 mph,21 ft,167° true,N18° 21.534' W65° 01.983',
105,"5/24/22, 11:07:44 AM",0 ft,0:00:01,0.3 mph,21 ft,118° true,N18° 21.534' W65° 01.983',
106,"5/24/22, 11:07:45 AM",1 ft,0:00:01,0.7 mph,21 ft,153° true,N18° 21.534' W65° 01.983',
107,"5/24/22, 11:07:46 AM",1 ft,0:00:01,0.5 mph,21 ft,178° true,N18° 21.534' W65° 01.983',
108,"5/24/22, 11:07:47 AM",1 ft,0:00:01,0.8 mph,21 ft,307° true,N18° 21.534' W65° 01.983',
109,"5/24/22, 11:07:48 AM",2 ft,0:00:01,1.1 mph,21 ft,293° true,N18° 21.534' W65° 01.983',
110,"5/24/22, 11:07:49 AM",1 ft,0:00:01,0.8 mph,21 ft,283° true,N18° 21.534' W65° 01.984',
111,"5/24/22, 11:07:50 AM",1 ft,0:00:01,0.6 mph,21 ft,24° true,N18° 21.534' W65° 01.984',
112,"5/24/22, 11:07:51 AM",1 ft,0:00:01,0.7 mph,21 ft,23° true,N18° 21.534' W65° 01.984',
113,"5/24/22, 11:07:52 AM",1 ft,0:00:01,0.6 mph,21 ft,356° true,N18° 21.534' W65° 01.984',
114,"5/24/22, 11:07:53 AM",1 ft,0:00:01,0.5 mph,21 ft,348° true,N18° 21.534' W65° 01.984',
115,"5/24/22, 11:07:54 AM",0 ft,0:00:01,0.3 mph,21 ft,79° true,N18° 21.535' W65° 01.984',
116,"5/24/22, 11:07:55 AM",2 ft,0:00:01,1.3 mph,21 ft,107° true,N18° 21.535' W65° 01.984',
117,"5/24/22, 11:07:56 AM",2 ft,0:00:01,1.1 mph,21 ft,108° true,N18° 21.535' W65° 01.983',
118,"5/24/22, 11:07:57 AM",1 ft,0:00:01,0.5 mph,21 ft,281° true,N18° 21.534' W65° 01.983',
119,"5/24/22, 11:07:58 AM",1 ft,0:00:01,0.5 mph,21 ft,313° true,N18° 21.534' W65° 01.983',
120,"5/24/22, 11:07:59 AM",1 ft,0:00:01,0.5 mph,21 ft,295° true,N18° 21.535' W65° 01.983',
121,"5/24/22, 11:08:00 AM",1 ft,0:00:01,0.8 mph,21 ft,310° true,N18° 21.535' W65° 01.983',
122,"5/24/22, 11:08:01 AM",1 ft,0:00:01,0.7 mph,21 ft,301° true,N18° 21.535' W65° 01.984',
123,"5/24/22, 11:08:02 AM",1 ft,0:00:01,0.4 mph,21 ft,259° true,N18° 21.535' W65° 01.984',
124,"5/24/22, 11:08:03 AM",0 ft,0:00:01,0.2 mph,21 ft,98° true,N18° 21.535' W65° 01.984',
125,"5/24/22, 11:08:04 AM",1 ft,0:00:01,0.8 mph,21 ft,124° true,N18° 21.535' W65° 01.984',
126,"5/24/22, 11:08:05 AM",2 ft,0:00:01,1.2 mph,21 ft,121° true,N18° 21.535' W65° 01.984',
127,"5/24/22, 11:08:06 AM",2 ft,0:00:01,1.2 mph,21 ft,136° true,N18° 21.535' W65° 01.983',
128,"5/24/22, 11:08:07 AM",1 ft,0:00:01,0.6 mph,21 ft,0° true,N18° 21.534' W65° 01.983',
129,"5/24/22, 11:08:08 AM",1 ft,0:00:01,0.4 mph,21 ft,303° true,N18° 21.534' W65° 01.983',
130,"5/24/22, 11:08:09 AM",1 ft,0:00:01,0.5 mph,21 ft,316° true,N18° 21.535' W65° 01.983',
131,"5/24/22, 11:08:10 AM",1 ft,0:00:01,0.8 mph,21 ft,320° true,N18° 21.535' W65° 01.983',
132,"5/24/22, 11:08:11 AM",1 ft,0:00:01,0.6 mph,19 ft,306° true,N18° 21.535' W65° 01.984',
133,"5/24/22, 11:08:12 AM",1 ft,0:00:01,0.9 mph,19 ft,287° true,N18° 21.535' W65° 01.984',
134,"5/24/22, 11:08:13 AM",1 ft,0:00:01,0.6 mph,19 ft,283° true,N18° 21.535' W65° 01.984',
135,"5/24/22, 11:08:14 AM",1 ft,0:00:01,0.4 mph,21 ft,212° true,N18° 21.535' W65° 01.984',
136,"5/24/22, 11:08:15 AM",1 ft,0:00:01,0.4 mph,21 ft,180° true,N18° 21.535' W65° 01.984',
137,"5/24/22, 11:08:16 AM",0 ft,0:00:01,0.0 mph,21 ft,136° true,N18° 21.535' W65° 01.984',
138,"5/24/22, 11:08:17 AM",0 ft,0:00:01,0.3 mph,21 ft,201° true,N18° 21.535' W65° 01.984',
139,"5/24/22, 11:08:18 AM",1 ft,0:00:01,0.7 mph,21 ft,134° true,N18° 21.535' W65° 01.984',
140,"5/24/22, 11:08:19 AM",1 ft,0:00:01,0.4 mph,21 ft,148° true,N18° 21.535' W65° 01.984',
141,"5/24/22, 11:08:20 AM",0 ft,0:00:01,0.3 mph,21 ft,185° true,N18° 21.535' W65° 01.984',
142,"5/24/22, 11:08:21 AM",1 ft,0:00:01,0.5 mph,21 ft,303° true,N18° 21.534' W65° 01.984',
143,"5/24/22, 11:08:22 AM",0 ft,0:00:01,0.2 mph,21 ft,5° true,N18° 21.535' W65° 01.984',
144,"5/24/22, 11:08:23 AM",1 ft,0:00:01,0.5 mph,21 ft,312° true,N18° 21.535' W65° 01.984',
145,"5/24/22, 11:08:24 AM",1 ft,0:00:01,0.6 mph,21 ft,262° true,N18° 21.535' W65° 01.984',
146,"5/24/22, 11:08:25 AM",1 ft,0:00:01,0.6 mph,21 ft,280° true,N18° 21.535' W65° 01.984',
147,"5/24/22, 11:08:26 AM",0 ft,0:00:01,0.2 mph,21 ft,168° true,N18° 21.535' W65° 01.984',
148,"5/24/22, 11:08:27 AM",0 ft,0:00:01,0.2 mph,23 ft,125° true,N18° 21.535' W65° 01.984',
149,"5/24/22, 11:08:28 AM",0 ft,0:00:01,0.1 mph,21 ft,310° true,N18° 21.535' W65° 01.984',
150,"5/24/22, 11:08:29 AM",1 ft,0:00:01,0.4 mph,21 ft,264° true,N18° 21.535' W65° 01.984',
151,"5/24/22, 11:08:30 AM",1 ft,0:00:01,0.6 mph,21 ft,243° true,N18° 21.535' W65° 01.985',
152,"5/24/22, 11:08:31 AM",1 ft,0:00:01,0.4 mph,23 ft,300° true,N18° 21.535' W65° 01.985',
153,"5/24/22, 11:08:32 AM",0 ft,0:00:01,0.2 mph,23 ft,309° true,N18° 21.535' W65° 01.985',
154,"5/24/22, 11:08:33 AM",0 ft,0:00:01,0.3 mph,23 ft,304° true,N18° 21.535' W65° 01.985',
155,"5/24/22, 11:08:34 AM",0 ft,0:00:01,0.3 mph,21 ft,240° true,N18° 21.535' W65° 01.985',
156,"5/24/22, 11:08:35 AM",0 ft,0:00:01,0.2 mph,21 ft,301° true,N18° 21.535' W65° 01.985',
157,"5/24/22, 11:08:36 AM",0 ft,0:00:01,0.3 mph,21 ft,270° true,N18° 21.535' W65° 01.985',
158,"5/24/22, 11:08:37 AM",1 ft,0:00:01,0.7 mph,23 ft,265° true,N18° 21.535' W65° 01.985',
