
metadata
ID,name,desc,time,keywords,minlat,minlon,maxlat,maxlon,
1,,,2022-05-25T15:29:31Z,,18.296596929430962,-79.89815971814096,32.751674177125096,-64.658902371302247,

author
ID,name,email,

copyright
year,license,author,

link
metadataID,authorID,wptID,rteptID,trkptID,rteID,trkID,text,type,href,
1,,,,,,,"Garmin International",,http://www.garmin.com,

rte
ID,name,cmt,desc,src,number,type,IsAutoNamed,DisplayColor,TransportationMode,TripName,Date,DayNumber,

rtept
ID,rteID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,DepartureTime,StopDuration,ArrivalTime,CalculationMode,ElevationMode,NamedRoad_Name,NamedRoad_Id,NamedRoad_ProductId,TransportationMode,

wpt
ID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime,

Address
wptID,StreetAddress1,StreetAddress2,City,State,Country,PostalCode,

PhoneNumber
wptID,Category,value,

Categories
wptID,Category,

trk
ID,name,cmt,desc,src,number,type,DisplayColor,
1,"2021-07-05 12:14:37 Auto",,,,,,"Cyan",
2,"2021-07-13 09:58:37 Auto",,,,,,"Cyan",
3,"2021-07-13 10:06:14 Auto",,,,,,"Cyan",
4,"2021-07-13 14:08:33",,,,,,"Cyan",
5,"2021-07-13 14:08:42 Auto",,,,,,"Cyan",
6,"2021-07-14 08:18:49 Auto",,,,,,"Cyan",
7,"2021-07-15 09:56:19 Auto",,,,,,"Cyan",
8,"2021-07-16 09:36:20 Auto",,,,,,"Cyan",

trkseg
ID,trkID,
1,1,
2,2,
3,3,
4,4,
5,5,
6,6,
7,7,
8,8,

trkpt
ID,trksegID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Temperature,Depth,wtemp,hr,cad,
1,1,32.751628076657653,-79.897973807528615,-60.43,2021-07-05T16:14:37Z,,,,,,,,,,,,,,,,,,,,,
2,1,32.751630423590541,-79.898062571883202,-60.43,2021-07-05T16:14:45Z,,,,,,,,,,,,,,,,,,,,,
3,1,32.751650121062994,-79.898114036768675,-59.460000000000001,2021-07-05T16:14:51Z,,,,,,,,,,,,,,,,,,,,,
4,1,32.751674177125096,-79.89815971814096,-59.460000000000001,2021-07-05T16:14:55Z,,,,,,,,,,,,,,,,,,,,,
5,2,18.340002782642841,-64.97622731141746,-45.530000000000001,2021-07-13T13:58:37Z,,,,,,,,,,,,,,,,,,,,,
6,2,18.339992556720972,-64.976212978363037,-42.159999999999997,2021-07-13T13:58:42Z,,,,,,,,,,,,,,,,,,,,,
7,2,18.339991215616465,-64.976212056353688,-38.799999999999997,2021-07-13T13:58:44Z,,,,,,,,,,,,,,,,,,,,,
8,2,18.339988198131323,-64.97621163725853,-33.030000000000001,2021-07-13T13:58:47Z,,,,,,,,,,,,,,,,,,,,,
9,2,18.339985683560371,-64.976211721077561,-33.030000000000001,2021-07-13T13:58:48Z,,,,,,,,,,,,,,,,,,,,,
10,2,18.33998316898942,-64.976206943392754,-29.18,2021-07-13T13:58:51Z,,,,,,,,,,,,,,,,,,,,,
11,2,18.339981324970722,-64.976199734956026,-25.34,2021-07-13T13:58:54Z,,,,,,,,,,,,,,,,,,,,,
12,2,18.339976463466883,-64.976204177364707,-21.969999999999999,2021-07-13T13:58:57Z,,,,,,,,,,,,,,,,,,,,,
13,2,18.33997436799109,-64.976204261183739,-18.129999999999999,2021-07-13T13:59:00Z,,,,,,,,,,,,,,,,,,,,,
14,2,18.339978642761707,-64.976209457963705,-14.279999999999999,2021-07-13T13:59:04Z,,,,,,,,,,,,,,,,,,,,,
15,2,18.340002195909619,-64.976210463792086,-10.92,2021-07-13T13:59:08Z,,,,,,,,,,,,,,,,,,,,,
16,2,18.339997082948685,-64.976220354437828,-13.32,2021-07-13T13:59:14Z,,,,,,,,,,,,,,,,,,,,,
17,2,18.33999490365386,-64.976231334730983,-9.960000000000001,2021-07-13T13:59:20Z,,,,,,,,,,,,,,,,,,,,,
18,2,18.339992221444845,-64.97623460367322,-6.59,2021-07-13T13:59:24Z,,,,,,,,,,,,,,,,,,,,,
19,2,18.340000519528985,-64.976226054131985,-3.71,2021-07-13T13:59:29Z,,,,,,,,,,,,,,,,,,,,,
20,2,18.340005800127983,-64.976215995848179,-0.34,2021-07-13T13:59:35Z,,,,,,,,,,,,,,,,,,,,,
21,2,18.340008398517966,-64.976208200678229,2.54,2021-07-13T13:59:46Z,,,,,,,,,,,,,,,,,,,,,
22,2,18.340010158717632,-64.976201159879565,5.91,2021-07-13T14:00:15Z,,,,,,,,,,,,,,,,,,,,,
23,2,18.339991802349687,-64.97620920650661,6.87,2021-07-13T14:00:55Z,,,,,,,,,,,,,,,,,,,,,
